,TBS,SegmentsNum,SegmentDelay(noSched)
0,24,3,9.410858154296875
1,24,3,9.418010711669922
2,24,4,11.90185546875
3,24,4,11.81483268737793
4,24,3,9.358882904052734
5,24,1,9.345054626464844
6,24,3,9.469032287597656
7,24,1,9.369134902954102
8,24,3,9.386301040649414
9,24,2,11.912107467651367
10,24,3,9.463071823120117
11,24,2,10.080099105834961
12,24,1,9.934186935424805
13,24,3,9.506940841674805
14,24,3,9.588003158569336
15,24,3,9.503841400146484
16,24,3,9.579896926879883
17,24,3,9.613275527954102
18,24,3,9.557962417602539
19,24,3,9.45591926574707
20,24,3,9.604930877685547
21,24,3,9.451866149902344
22,24,3,9.536027908325195
23,24,3,9.616851806640625
24,24,3,9.567022323608398
25,24,3,9.388923645019531
26,24,3,9.597063064575195
27,24,3,9.462833404541016
28,24,3,9.56583023071289
29,24,3,9.448051452636719
30,24,3,9.530782699584961
31,24,3,9.55820083618164
32,24,3,9.603023529052734
33,24,3,9.608030319213867
34,24,3,9.551048278808594
35,24,3,9.608983993530273
36,24,3,9.571075439453125
37,24,3,9.474992752075195
38,24,3,9.584903717041016
39,24,3,9.522199630737305
40,24,3,9.59324836730957
41,528,3,9.215116500854492
42,24,3,9.557962417602539
43,24,3,9.526968002319336
44,24,3,9.605884552001953
45,24,3,9.56106185913086
46,24,3,9.528160095214844
47,24,3,9.52601432800293
48,24,3,9.608983993530273
49,24,3,9.536027908325195
50,24,3,9.60993766784668
51,24,3,9.563207626342773
52,24,3,9.467124938964844
53,24,3,9.496927261352539
54,24,3,9.577035903930664
55,24,3,9.508132934570312
56,24,3,9.601831436157227
57,24,3,9.605169296264648
58,24,3,9.598731994628906
59,24,3,9.488105773925781
60,24,3,9.614706039428711
61,24,3,9.530305862426758
62,24,3,9.519100189208984
63,24,3,9.494304656982422
64,24,3,9.58395004272461
65,24,3,9.593009948730469
66,24,3,9.568929672241211
67,24,3,9.486913681030273
68,24,3,9.603261947631836
69,24,3,9.582042694091797
70,24,3,9.567975997924805
71,24,3,9.467840194702148
72,24,3,9.609699249267578
73,24,3,9.530782699584961
74,24,3,9.532690048217773
75,24,3,9.496212005615234
76,24,3,9.57798957824707
77,24,3,9.538888931274414
78,24,3,9.544134140014648
79,24,3,9.604930877685547
80,24,3,9.579896926879883
81,24,3,9.48023796081543
82,24,3,9.568929672241211
83,24,3,9.490966796875
84,24,3,9.472846984863281
85,24,3,9.534835815429688
86,24,3,9.584903717041016
87,24,3,9.501218795776367
88,24,3,9.607076644897461
89,24,3,9.623050689697266
90,24,3,9.536981582641602
91,24,3,9.555816650390625
92,24,3,9.549856185913086
93,24,3,9.47713851928711
94,24,3,9.553909301757812
95,24,3,9.459972381591797
96,24,3,9.468317031860352
97,24,3,9.499073028564453
98,24,3,9.5977783203125
99,24,3,9.476900100708008
100,24,3,9.529829025268555
101,24,3,9.602785110473633
102,24,3,9.543180465698242
103,24,3,9.48190689086914
104,24,3,9.57798957824707
105,24,3,9.490013122558594
106,24,3,9.531259536743164
107,24,3,9.521722793579102
108,24,3,9.618043899536133
109,24,3,9.629964828491211
110,24,3,9.544134140014648
111,24,3,9.554147720336914
112,24,3,9.540081024169922
113,24,3,9.490966796875
114,24,3,9.508132934570312
115,24,3,9.575128555297852
116,24,3,9.551048278808594
117,24,3,9.577751159667969
118,24,3,9.521961212158203
119,24,3,9.592771530151367
120,24,3,9.572982788085938
121,24,3,9.510993957519531
122,24,3,9.546756744384766
123,24,3,9.539127349853516
124,24,3,9.623050689697266
125,24,3,9.566068649291992
126,24,3,9.613037109375
127,24,3,9.561300277709961
128,24,3,9.505987167358398
129,24,3,9.620189666748047
130,24,3,9.526252746582031
131,24,3,9.560108184814453
132,24,3,9.525775909423828
133,24,3,9.624004364013672
134,24,3,9.586095809936523
135,24,3,9.582042694091797
136,24,3,9.49406623840332
137,24,3,9.629964828491211
138,24,3,9.51385498046875
139,24,3,9.57489013671875
140,24,3,9.475946426391602
141,24,3,9.510993957519531
142,24,3,9.512186050415039
143,24,3,9.600162506103516
144,24,3,9.507894515991211
145,24,3,9.603023529052734
146,24,3,9.511947631835938
147,24,3,9.525060653686523
148,24,3,9.62209701538086
149,24,3,9.371042251586914
150,24,1,4.393100738525391
151,24,3,9.46187973022461
152,24,3,9.567022323608398
153,24,3,9.470939636230469
154,24,3,9.515047073364258
155,24,3,9.540081024169922
156,24,3,9.592056274414062
157,24,3,9.512901306152344
158,24,3,9.559869766235352
159,24,3,9.608745574951172
160,24,3,9.567737579345703
161,24,3,9.444713592529297
162,24,3,9.575128555297852
163,24,3,9.559869766235352
164,24,3,9.570121765136719
165,24,3,9.566068649291992
166,24,3,9.613752365112305
167,24,3,9.585857391357422
168,24,3,9.559869766235352
169,24,3,9.454011917114258
170,24,3,9.559154510498047
171,24,3,9.536027908325195
172,24,3,9.53364372253418
173,24,3,9.479999542236328
174,24,3,9.567975997924805
175,24,3,9.47117805480957
176,24,3,9.608983993530273
177,24,3,9.587764739990234
178,24,3,9.516716003417969
179,24,3,9.581327438354492
180,24,3,9.593725204467773
181,24,3,9.585857391357422
182,24,3,9.53531265258789
183,24,3,9.556055068969727
184,24,3,9.570121765136719
185,24,3,9.550094604492188
186,24,3,9.486675262451172
187,24,3,9.496688842773438
188,24,3,9.582996368408203
189,24,3,9.569883346557617
190,24,3,9.54890251159668
191,24,3,9.585857391357422
192,24,3,9.60683822631836
193,24,3,9.544849395751953
194,24,3,9.52601432800293
195,24,3,9.578943252563477
196,24,3,9.486198425292969
197,24,3,9.517908096313477
198,24,3,9.500741958618164
199,24,3,9.453296661376953
200,24,3,9.459972381591797
201,24,3,9.591102600097656
202,24,3,9.537935256958008
203,24,3,9.595394134521484
204,24,3,9.615898132324219
205,24,3,9.552001953125
206,24,3,9.566068649291992
207,24,3,9.558916091918945
208,24,3,9.474039077758789
209,24,3,9.588956832885742
210,24,3,9.507894515991211
211,24,3,9.540796279907227
212,24,3,9.52005386352539
213,24,3,9.56869125366211
214,24,3,9.59014892578125
215,24,3,9.55820083618164
216,24,3,9.514808654785156
217,24,3,9.533166885375977
