,TBS,SegmentsNum,PacketSize,SegmentDelay(noSched),QueueingDelay(noSched)
80,24,3,78,9.541988372802734,2.0630359649658203
81,24,3,78,9.626150131225586,2.0880699157714844
82,24,3,78,9.594202041625977,2.0749568939208984
83,24,3,78,9.60397720336914,2.079010009765625
84,24,3,78,9.463787078857422,2.0029544830322266
85,24,3,78,9.638309478759766,2.0949840545654297
86,24,3,78,9.477853775024414,2.0029544830322266
87,24,3,78,9.639978408813477,2.09808349609375
88,24,3,78,9.490013122558594,2.0189285278320312
89,24,3,78,9.567975997924805,2.0401477813720703
90,24,3,78,9.518861770629883,2.0351409912109375
91,24,3,78,9.586334228515625,2.0580291748046875
92,24,3,78,9.572267532348633,2.044200897216797
93,24,3,78,9.606599807739258,2.076864242553711
94,24,3,78,9.450197219848633,1.9938945770263672
95,24,3,78,9.634971618652344,2.0890235900878906
96,24,3,78,9.46807861328125,2.01416015625
97,24,3,78,9.531974792480469,2.040863037109375
98,24,3,78,9.469747543334961,2.012014389038086
99,24,3,78,9.496688842773438,2.03704833984375
100,24,3,78,9.499788284301758,2.0248889923095703
101,24,3,78,9.590864181518555,2.0520687103271484
102,24,3,78,9.523868560791016,2.0339488983154297
103,24,3,78,9.613752365112305,2.0699501037597656
104,24,3,78,9.589195251464844,2.0508766174316406
105,24,3,78,9.593725204467773,2.0799636840820312
106,24,3,78,9.468793869018555,2.000093460083008
107,24,3,78,9.642839431762695,2.0940303802490234
108,24,3,78,9.510040283203125,2.0160675048828125
109,24,3,78,9.630203247070312,2.084016799926758
110,24,3,78,9.535789489746094,1.9941329956054688
111,24,3,78,9.653806686401367,2.084970474243164
112,24,3,78,9.46497917175293,2.003192901611328
113,24,3,78,9.520769119262695,2.0418167114257812
114,24,3,78,9.479999542236328,2.020120620727539
115,24,3,78,9.573936462402344,2.0499229431152344
116,24,3,78,9.505033493041992,2.03704833984375
117,24,3,78,9.62519645690918,2.0689964294433594
118,24,3,78,9.476184844970703,1.992940902709961
119,24,3,78,9.509086608886719,2.0859241485595703
120,24,3,78,9.552955627441406,2.0160675048828125
121,24,3,78,9.490013122558594,2.0389556884765625
122,24,3,78,9.565114974975586,2.0248889923095703
123,24,3,78,9.577035903930664,2.054929733276367
124,24,3,78,9.58871841430664,2.0148754119873047
125,24,3,78,9.494781494140625,2.0389556884765625
126,24,3,78,9.557723999023438,2.0329952239990234
127,24,3,78,9.58395004272461,2.062082290649414
128,24,3,78,9.608030319213867,2.081155776977539
129,24,3,78,9.537220001220703,2.074003219604492
130,24,3,78,9.666681289672852,2.095937728881836
131,24,3,78,9.476184844970703,2.0189285278320312
132,24,3,78,9.533882141113281,2.0439624786376953
133,24,3,78,9.505033493041992,2.0210742950439453
134,24,3,78,9.590864181518555,2.0439624786376953
135,24,3,78,9.505987167358398,2.0339488983154297
136,24,3,78,9.610891342163086,2.065896987915039
137,24,3,78,9.60683822631836,2.052783966064453
138,24,3,78,9.62686538696289,2.0780563354492188
139,24,3,78,9.466886520385742,1.9979476928710938
140,24,3,78,9.647846221923828,2.0940303802490234
141,24,3,78,9.479761123657227,2.012968063354492
142,24,3,78,9.521245956420898,2.0380020141601562
143,24,3,78,9.517192840576172,2.0270347595214844
144,24,3,78,9.614229202270508,2.0551681518554688
145,24,3,78,9.51075553894043,2.0389556884765625
146,24,3,78,9.572029113769531,2.0411014556884766
147,24,3,78,9.532928466796875,2.028942108154297
148,24,3,78,9.599924087524414,2.0580291748046875
149,24,3,78,9.586095809936523,2.042055130004883
150,24,3,78,9.608983993530273,2.076864242553711
151,24,3,78,9.495258331298828,2.000093460083008
152,24,3,78,9.596824645996094,2.08282470703125
153,24,3,78,9.465932846069336,2.003908157348633
154,24,3,78,9.550809860229492,2.0389556884765625
155,24,3,78,9.471654891967773,2.022981643676758
156,24,3,78,9.603023529052734,2.056121826171875
157,24,3,78,9.506940841674805,2.0339488983154297
158,24,3,78,9.576797485351562,2.0668506622314453
159,24,3,78,9.591817855834961,2.0530223846435547
160,24,3,78,9.617090225219727,2.0749568939208984
161,24,3,78,9.483098983764648,2.004861831665039
162,24,3,78,9.647130966186523,2.0918846130371094
163,24,3,78,9.475946426391602,2.0139217376708984
164,24,3,78,9.51695442199707,2.0380020141601562
165,24,3,78,9.478092193603516,2.026796340942383
166,24,3,78,9.578704833984375,2.053976058959961
167,24,3,78,9.48190689086914,2.0380020141601562
168,24,3,78,9.598970413208008,2.071857452392578
169,24,3,78,9.582996368408203,2.054929733276367
170,24,3,78,9.542226791381836,2.0809173583984375
171,24,3,78,9.485960006713867,2.012014389038086
172,24,3,78,9.543180465698242,2.0780563354492188
173,24,3,78,9.454965591430664,1.9979476928710938
174,24,3,78,9.593963623046875,2.089977264404297
175,24,3,78,9.486913681030273,2.012968063354492
176,24,3,78,9.504079818725586,2.0389556884765625
177,24,3,78,9.49406623840332,2.0279884338378906
178,24,3,78,9.592771530151367,2.057790756225586
