,TBS,SegmentsNum,SegmentDelay(noSched)
0,24,4,11.732101440429688
1,116,1,2.1049976348876953
2,24,4,12.003183364868164
3,24,3,9.509801864624023
4,24,1,9.57489013671875
5,24,3,9.579896926879883
6,24,1,9.624719619750977
7,116,3,11.564016342163086
8,116,2,14.03188705444336
9,24,3,9.554862976074219
10,24,1,9.575843811035156
11,24,4,12.046098709106445
12,24,4,12.07113265991211
13,24,4,12.011051177978516
14,24,4,12.084007263183594
15,24,4,11.973142623901367
16,24,4,12.057065963745117
17,24,4,12.017011642456055
18,24,4,12.06207275390625
19,24,4,12.031793594360352
20,24,3,9.644031524658203
21,24,3,9.634971618652344
22,24,3,9.599924087524414
23,24,3,9.530067443847656
24,24,3,9.577035903930664
25,24,3,9.591817855834961
26,24,3,9.511947631835938
27,24,3,9.598731994628906
28,24,3,9.639978408813477
29,24,3,9.669065475463867
30,24,3,9.644746780395508
31,24,3,9.52911376953125
32,24,3,9.566068649291992
33,24,3,9.524106979370117
34,24,3,9.598970413208008
35,24,3,9.60397720336914
36,24,3,9.527921676635742
37,24,3,9.598016738891602
38,24,3,9.521961212158203
39,24,3,9.532690048217773
40,24,3,9.670019149780273
41,24,3,9.558916091918945
42,24,3,9.554862976074219
43,24,3,9.583711624145508
44,24,3,9.632110595703125
45,24,3,9.525060653686523
46,24,3,9.502887725830078
47,24,3,9.516716003417969
48,24,3,9.48190689086914
49,24,3,9.525060653686523
50,24,3,9.486198425292969
51,24,3,9.682893753051758
52,24,3,9.625911712646484
53,24,3,9.647846221923828
54,24,3,9.536027908325195
55,24,3,9.599685668945312
56,24,3,9.553194046020508
57,24,3,9.529829025268555
58,24,3,9.488105773925781
59,24,3,9.611129760742188
60,24,3,9.454965591430664
61,24,3,9.550094604492188
62,116,3,11.632919311523438
63,24,3,9.626150131225586
64,24,3,9.603023529052734
65,24,3,9.569883346557617
66,24,3,9.60087776184082
67,24,3,9.535789489746094
68,24,3,9.485006332397461
69,24,3,9.507894515991211
70,24,3,9.554862976074219
71,24,3,9.615182876586914
72,24,3,9.594917297363281
73,24,3,9.640932083129883
74,116,3,11.565208435058594
75,24,3,9.612083435058594
76,24,3,9.52911376953125
77,24,3,9.560346603393555
78,24,3,9.604215621948242
79,24,3,9.502887725830078
80,24,3,9.590864181518555
81,24,3,9.57179069519043
82,24,3,9.528875350952148
83,24,3,9.608983993530273
84,24,3,9.521007537841797
85,24,3,9.562969207763672
86,116,3,11.543035507202148
87,24,3,9.540796279907227
88,24,3,9.599924087524414
89,24,3,9.57036018371582
90,24,3,9.598970413208008
91,24,3,9.490013122558594
92,24,3,9.626150131225586
93,24,3,9.638071060180664
94,24,3,9.628772735595703
95,24,3,9.60397720336914
96,24,3,9.598016738891602
97,24,3,9.541034698486328
98,116,3,11.573076248168945
99,24,3,9.472846984863281
100,24,3,9.492158889770508
101,24,3,9.48190689086914
102,24,3,9.52768325805664
103,24,3,9.488344192504883
104,24,3,9.500980377197266
105,24,3,9.60397720336914
