,TBS,SegmentsNum,PacketSize,SegmentDelay(noSched),QueueingDelay(noSched)
0,24,4,48,11.732101440429688,2.012014389038086
1,116,1,48,2.1049976348876953,2.0170211791992188
2,24,4,60,12.003183364868164,2.0089149475097656
3,24,3,52,9.509801864624023,1.9679069519042969
4,24,1,53,9.57489013671875,9.491920471191406
5,24,3,52,9.579896926879883,1.9848346710205078
6,24,1,253,9.624719619750977,9.507894515991211
7,116,3,52,11.564016342163086,3.9589405059814453
8,116,2,79,14.03188705444336,11.483907699584961
9,24,3,52,9.554862976074219,2.012968063354492
10,24,1,55,9.575843811035156,9.494781494140625
11,24,4,55,12.046098709106445,2.0530223846435547
12,24,4,55,12.07113265991211,2.0189285278320312
13,24,4,55,12.011051177978516,1.9991397857666016
14,24,4,57,12.084007263183594,2.0270347595214844
15,24,4,55,11.973142623901367,1.970052719116211
16,24,4,55,12.057065963745117,2.0029544830322266
17,24,4,55,12.017011642456055,1.9769668579101562
18,24,4,55,12.06207275390625,2.009153366088867
19,24,4,55,12.031793594360352,1.9729137420654297
20,24,3,57,9.644031524658203,2.0599365234375
21,24,3,55,9.634971618652344,2.026081085205078
22,24,3,55,9.599924087524414,2.0711421966552734
23,24,3,55,9.530067443847656,2.0339488983154297
24,24,3,55,9.577035903930664,2.068042755126953
25,24,3,55,9.591817855834961,2.02178955078125
26,24,3,55,9.511947631835938,1.9898414611816406
27,24,3,57,9.598731994628906,2.02178955078125
28,24,3,55,9.639978408813477,2.0418167114257812
29,24,3,55,9.669065475463867,2.070903778076172
30,24,3,55,9.644746780395508,2.0411014556884766
31,24,3,57,9.52911376953125,2.0110607147216797
32,24,3,55,9.566068649291992,2.0449161529541016
33,24,3,55,9.524106979370117,2.012014389038086
34,24,3,55,9.598970413208008,2.054929733276367
35,24,3,55,9.60397720336914,2.0189285278320312
36,24,3,55,9.527921676635742,1.9981861114501953
37,24,3,55,9.598016738891602,2.028942108154297
38,24,3,58,9.521961212158203,2.0089149475097656
39,24,3,55,9.532690048217773,2.012968063354492
40,24,3,55,9.670019149780273,2.048015594482422
41,24,3,55,9.558916091918945,2.0101070404052734
42,24,3,55,9.554862976074219,2.052783966064453
43,24,3,59,9.583711624145508,2.01416015625
44,24,3,55,9.632110595703125,2.0339488983154297
45,24,3,55,9.525060653686523,2.004861831665039
46,24,3,55,9.502887725830078,1.9669532775878906
47,24,3,55,9.516716003417969,2.0089149475097656
48,24,3,55,9.48190689086914,1.981973648071289
49,24,3,55,9.525060653686523,2.012968063354492
50,24,3,61,9.486198425292969,1.97601318359375
51,24,3,55,9.682893753051758,2.065896987915039
52,24,3,55,9.625911712646484,2.0279884338378906
53,24,3,55,9.647846221923828,2.0568370819091797
54,24,3,55,9.536027908325195,2.0399093627929688
55,24,3,55,9.599685668945312,2.0689964294433594
56,24,3,57,9.553194046020508,2.0399093627929688
57,24,3,55,9.529829025268555,2.012968063354492
58,24,3,55,9.488105773925781,1.97601318359375
59,24,3,55,9.611129760742188,2.022981643676758
60,24,3,59,9.454965591430664,1.9690990447998047
61,24,3,55,9.550094604492188,2.0051002502441406
62,116,3,55,11.632919311523438,4.045009613037109
63,24,3,55,9.626150131225586,2.0530223846435547
64,24,3,55,9.603023529052734,2.0339488983154297
65,24,3,55,9.569883346557617,2.0639896392822266
66,24,3,55,9.60087776184082,2.0318031311035156
67,24,3,59,9.535789489746094,2.004861831665039
68,24,3,55,9.485006332397461,1.9719600677490234
69,24,3,55,9.507894515991211,2.006053924560547
70,24,3,55,9.554862976074219,1.9838809967041016
71,24,3,57,9.615182876586914,2.012968063354492
72,24,3,55,9.594917297363281,1.9788742065429688
73,24,3,55,9.640932083129883,2.065896987915039
74,116,3,55,11.565208435058594,4.045963287353516
75,24,3,55,9.612083435058594,2.042055130004883
76,24,3,55,9.52911376953125,2.0148754119873047
77,24,3,59,9.560346603393555,2.0470619201660156
78,24,3,55,9.604215621948242,2.025127410888672
79,24,3,59,9.502887725830078,1.9938945770263672
80,24,3,55,9.590864181518555,2.023935317993164
81,24,3,55,9.57179069519043,2.003192901611328
82,24,3,55,9.528875350952148,2.0198822021484375
83,24,3,55,9.608983993530273,2.0570755004882812
84,24,3,55,9.521007537841797,2.012968063354492
85,24,3,55,9.562969207763672,2.045154571533203
86,116,3,55,11.543035507202148,4.0340423583984375
87,24,3,55,9.540796279907227,2.048015594482422
88,24,3,55,9.599924087524414,2.0248889923095703
89,24,3,59,9.57036018371582,2.056121826171875
90,24,3,55,9.598970413208008,2.019166946411133
91,24,3,55,9.490013122558594,1.9979476928710938
92,24,3,55,9.626150131225586,2.0291805267333984
93,24,3,55,9.638071060180664,2.043008804321289
94,24,3,55,9.628772735595703,2.068042755126953
95,24,3,55,9.60397720336914,2.026796340942383
96,24,3,59,9.598016738891602,2.064943313598633
97,24,3,59,9.541034698486328,2.0339488983154297
98,116,3,55,11.573076248168945,4.0130615234375
99,24,3,55,9.472846984863281,1.9731521606445312
100,24,3,55,9.492158889770508,2.006053924560547
101,24,3,55,9.48190689086914,1.9729137420654297
102,24,3,55,9.52768325805664,2.012968063354492
103,24,3,55,9.488344192504883,1.9841194152832031
104,24,3,55,9.500980377197266,2.012968063354492
