,TBS,SegmentsNum,PacketSize,SegmentDelay(noSched),QueueingDelay(noSched)
0,24,3,48,9.410858154296875,1.8620491027832031
1,24,3,52,9.418010711669922,1.9500255584716797
2,24,4,52,11.90185546875,1.912832260131836
3,24,4,60,11.81483268737793,1.9061565399169922
4,24,3,52,9.358882904052734,1.8620491027832031
5,24,1,53,9.345054626464844,9.344100952148438
6,24,3,52,9.469032287597656,1.8811225891113281
7,24,1,253,9.369134902954102,9.371042251586914
8,24,3,52,9.386301040649414,1.905202865600586
9,24,2,79,11.912107467651367,9.387969970703125
10,24,3,52,9.463071823120117,1.8620491027832031
11,24,2,528,10.080099105834961,9.387016296386719
12,24,1,528,9.934186935424805,9.901046752929688
13,24,3,528,9.506940841674805,1.898050308227539
14,24,3,528,9.588003158569336,1.8780231475830078
15,24,3,528,9.503841400146484,1.9109249114990234
16,24,3,528,9.579896926879883,1.895904541015625
17,24,3,528,9.613275527954102,1.9230842590332031
18,24,3,528,9.557962417602539,1.9061565399169922
19,24,3,528,9.45591926574707,1.867055892944336
20,24,3,528,9.604930877685547,1.9228458404541016
21,24,3,528,9.451866149902344,1.8858909606933594
22,24,3,528,9.536027908325195,1.8699169158935547
23,24,3,528,9.616851806640625,1.8987655639648438
24,24,3,528,9.567022323608398,1.8849372863769531
25,24,3,528,9.388923645019531,1.9099712371826172
26,24,3,528,9.597063064575195,1.898050308227539
27,24,3,528,9.462833404541016,1.8589496612548828
28,24,3,528,9.56583023071289,1.901865005493164
29,24,3,528,9.448051452636719,1.8579959869384766
30,24,3,528,9.530782699584961,1.9648075103759766
31,24,3,528,9.55820083618164,1.8839836120605469
32,24,3,528,9.603023529052734,1.9121170043945312
33,24,3,528,9.608030319213867,1.9037723541259766
34,24,3,528,9.551048278808594,1.9309520721435547
35,24,3,528,9.608983993530273,1.9140243530273438
36,24,3,528,9.571075439453125,1.9428730010986328
37,24,3,528,9.474992752075195,1.867055892944336
38,24,3,528,9.584903717041016,1.9600391387939453
39,24,3,528,9.522199630737305,1.8870830535888672
40,24,3,528,9.59324836730957,1.959085464477539
41,528,3,52,9.215116500854492,1.9040107727050781
42,24,3,528,9.557962417602539,1.8808841705322266
43,24,3,528,9.526968002319336,1.9059181213378906
44,24,3,528,9.605884552001953,1.898050308227539
45,24,3,528,9.56106185913086,1.9211769104003906
46,24,3,528,9.528160095214844,1.8949508666992188
47,24,3,528,9.52601432800293,1.9359588623046875
48,24,3,528,9.608983993530273,1.9228458404541016
49,24,3,528,9.536027908325195,1.9378662109375
50,24,3,528,9.60993766784668,1.9228458404541016
51,24,3,528,9.563207626342773,1.9550323486328125
52,24,3,528,9.467124938964844,1.8639564514160156
53,24,3,528,9.496927261352539,1.898050308227539
54,24,3,528,9.577035903930664,1.8839836120605469
55,24,3,528,9.508132934570312,1.909017562866211
56,24,3,528,9.601831436157227,1.8999576568603516
57,24,3,528,9.605169296264648,1.9249916076660156
58,24,3,528,9.598731994628906,1.9078254699707031
59,24,3,528,9.488105773925781,1.8720626831054688
60,24,3,528,9.614706039428711,1.9268989562988281
61,24,3,528,9.530305862426758,1.8930435180664062
62,24,3,528,9.519100189208984,1.8720626831054688
63,24,3,528,9.494304656982422,1.898050308227539
64,24,3,528,9.58395004272461,1.8880367279052734
65,24,3,528,9.593009948730469,1.911163330078125
66,24,3,528,9.568929672241211,1.8970966339111328
67,24,3,528,9.486913681030273,1.8620491027832031
68,24,3,528,9.603261947631836,1.8970966339111328
69,24,3,528,9.582042694091797,1.9237995147705078
70,24,3,528,9.567975997924805,1.9078254699707031
71,24,3,528,9.467840194702148,1.8689632415771484
72,24,3,528,9.609699249267578,1.9237995147705078
73,24,3,528,9.530782699584961,1.9059181213378906
74,24,3,528,9.532690048217773,1.8849372863769531
75,24,3,528,9.496212005615234,1.8990039825439453
76,24,3,528,9.57798957824707,1.8868446350097656
77,24,3,528,9.538888931274414,1.9009113311767578
78,24,3,528,9.544134140014648,1.886129379272461
79,24,3,528,9.604930877685547,1.9109249114990234
80,24,3,528,9.579896926879883,1.9011497497558594
81,24,3,528,9.48023796081543,1.8610954284667969
82,24,3,528,9.568929672241211,1.9178390502929688
83,24,3,528,9.490966796875,1.8758773803710938
84,24,3,528,9.472846984863281,1.8641948699951172
85,24,3,528,9.534835815429688,1.8939971923828125
86,24,3,528,9.584903717041016,1.9218921661376953
87,24,3,528,9.501218795776367,1.9040107727050781
88,24,3,528,9.607076644897461,1.9359588623046875
89,24,3,528,9.623050689697266,1.9240379333496094
90,24,3,528,9.536981582641602,1.9278526306152344
91,24,3,528,9.555816650390625,1.9121170043945312
92,24,3,528,9.549856185913086,1.9381046295166016
93,24,3,528,9.47713851928711,1.8620491027832031
94,24,3,528,9.553909301757812,1.950979232788086
95,24,3,528,9.459972381591797,1.8768310546875
96,24,3,528,9.468317031860352,1.9009113311767578
97,24,3,528,9.499073028564453,1.89208984375
98,24,3,528,9.5977783203125,1.9218921661376953
99,24,3,528,9.476900100708008,1.9030570983886719
100,24,3,528,9.529829025268555,1.9369125366210938
101,24,3,528,9.602785110473633,1.9178390502929688
102,24,3,528,9.543180465698242,1.9462108612060547
103,24,3,528,9.48190689086914,1.8649101257324219
104,24,3,528,9.57798957824707,1.9631385803222656
105,24,3,528,9.490013122558594,1.8830299377441406
106,24,3,528,9.531259536743164,1.9102096557617188
107,24,3,528,9.521722793579102,1.8968582153320312
108,24,3,528,9.618043899536133,1.9240379333496094
109,24,3,528,9.629964828491211,1.9099712371826172
110,24,3,528,9.544134140014648,1.9412040710449219
111,24,3,528,9.554147720336914,1.8610954284667969
112,24,3,528,9.540081024169922,1.950979232788086
113,24,3,528,9.490966796875,1.8780231475830078
114,24,3,528,9.508132934570312,1.9109249114990234
115,24,3,528,9.575128555297852,1.889944076538086
116,24,3,528,9.551048278808594,1.9190311431884766
117,24,3,528,9.577751159667969,1.9009113311767578
118,24,3,528,9.521961212158203,1.9299983978271484
119,24,3,528,9.592771530151367,1.9178390502929688
120,24,3,528,9.572982788085938,1.9419193267822266
121,24,3,528,9.510993957519531,1.8630027770996094
122,24,3,528,9.546756744384766,1.9588470458984375
123,24,3,528,9.539127349853516,1.8939971923828125
124,24,3,528,9.623050689697266,1.9190311431884766
125,24,3,528,9.566068649291992,1.8978118896484375
126,24,3,528,9.613037109375,1.9218921661376953
127,24,3,528,9.561300277709961,1.9071102142333984
128,24,3,528,9.505987167358398,1.867055892944336
129,24,3,528,9.620189666748047,1.9230842590332031
130,24,3,528,9.526252746582031,1.8908977508544922
131,24,3,528,9.560108184814453,1.8699169158935547
132,24,3,528,9.525775909423828,1.9009113311767578
133,24,3,528,9.624004364013672,1.9278526306152344
134,24,3,528,9.586095809936523,1.9099712371826172
135,24,3,528,9.582042694091797,1.940011978149414
136,24,3,528,9.49406623840332,1.8641948699951172
137,24,3,528,9.629964828491211,1.9519329071044922
138,24,3,528,9.51385498046875,1.8689632415771484
139,24,3,528,9.57489013671875,1.9571781158447266
140,24,3,528,9.475946426391602,1.875162124633789
141,24,3,528,9.510993957519531,1.9011497497558594
142,24,3,528,9.512186050415039,1.8939971923828125
143,24,3,528,9.600162506103516,1.9230842590332031
144,24,3,528,9.507894515991211,1.9061565399169922
