,TBS,SegmentsNum,PacketSize,SegmentDelay(noSched)
0,24,3,48,5.202770233154297
1,24,3,52,8.224964141845703
2,24,4,52,7.719755172729492
3,24,4,60,10.264873504638672
4,24,3,52,6.607770919799805
5,24,1,53,6.6089630126953125
6,24,3,52,9.20414924621582
7,24,1,253,9.12928581237793
8,24,3,52,4.535198211669922
9,24,2,79,7.174968719482422
10,24,3,52,6.73222541809082
11,24,2,528,9.075164794921875
12,24,1,528,8.933305740356445
13,24,3,528,8.548974990844727
14,24,3,528,8.70203971862793
15,24,3,528,8.652925491333008
16,24,3,528,8.806943893432617
17,24,3,528,8.875370025634766
18,24,3,528,8.894920349121094
19,24,3,528,8.827924728393555
20,24,3,528,9.052038192749023
21,24,3,528,8.937835693359375
22,24,3,528,9.095907211303711
23,24,3,528,9.210824966430664
24,24,3,528,9.235143661499023
25,24,3,528,9.093046188354492
26,24,3,528,9.377002716064453
27,24,3,528,9.279012680053711
28,24,3,528,9.454727172851562
29,24,3,528,9.37509536743164
30,24,3,528,4.544734954833984
31,24,3,528,4.603147506713867
32,24,3,528,4.724025726318359
33,24,3,528,4.761219024658203
34,24,3,528,4.789113998413086
35,24,3,528,4.8770904541015625
36,24,3,528,4.914283752441406
37,24,3,528,4.850864410400391
38,24,3,528,5.036830902099609
39,24,3,528,5.012273788452148
40,24,3,528,5.155324935913086
41,528,3,52,9.023189544677734
42,24,3,528,5.156040191650391
43,24,3,528,5.198955535888672
44,24,3,528,5.303859710693359
45,24,3,528,5.346059799194336
46,24,3,528,5.353212356567383
47,24,3,528,5.423069000244141
48,24,3,528,5.5389404296875
49,24,3,528,5.545139312744141
50,24,3,528,5.650758743286133
51,24,3,528,5.680084228515625
52,24,3,528,5.618095397949219
53,24,3,528,5.724906921386719
54,24,3,528,5.8441162109375
55,24,3,528,5.849123001098633
56,24,3,528,5.978822708129883
57,24,3,528,6.056070327758789
58,24,3,528,6.091594696044922
59,24,3,528,6.05010986328125
60,24,3,528,6.211519241333008
61,24,3,528,6.16145133972168
62,24,3,528,6.225109100341797
63,24,3,528,6.235361099243164
64,24,3,528,6.400823593139648
65,24,3,528,6.440162658691406
66,24,3,528,6.493806838989258
67,24,3,528,6.445884704589844
68,24,3,528,6.638288497924805
69,24,3,528,6.652116775512695
70,24,3,528,6.715059280395508
71,24,3,528,6.646871566772461
72,24,3,528,6.865739822387695
73,24,3,528,6.824731826782227
74,24,3,528,6.896734237670898
75,24,3,528,6.894350051879883
76,24,3,528,7.052898406982422
77,24,3,528,7.046937942504883
78,24,3,528,7.128238677978516
79,24,3,528,7.22193717956543
80,24,3,528,7.274866104125977
81,24,3,528,7.208347320556641
82,24,3,528,7.369756698608398
83,24,3,528,7.328987121582031
84,24,3,528,7.391691207885742
85,24,3,528,7.481813430786133
86,24,3,528,7.609844207763672
87,24,3,528,7.558345794677734
88,24,3,528,7.740974426269531
89,24,3,528,7.790088653564453
90,24,3,528,7.779836654663086
91,24,3,528,7.832765579223633
92,24,3,528,7.902860641479492
93,24,3,528,7.862091064453125
94,24,3,528,8.016109466552734
95,24,3,528,7.96198844909668
96,24,3,528,8.0413818359375
97,24,3,528,8.10694694519043
98,24,3,528,8.281707763671875
99,24,3,528,8.194923400878906
100,24,3,528,8.323907852172852
101,24,3,528,8.388757705688477
102,24,3,528,8.41212272644043
103,24,3,528,8.382797241210938
104,24,3,528,8.554935455322266
105,24,3,528,8.498191833496094
106,24,3,528,8.613348007202148
107,24,3,528,8.641719818115234
108,24,3,528,8.810997009277344
109,24,3,528,8.856773376464844
110,24,3,528,8.84699821472168
111,24,3,528,8.890151977539062
112,24,3,528,8.953094482421875
113,24,3,528,8.935928344726562
114,24,3,528,9.032011032104492
115,24,3,528,9.132146835327148
116,24,3,528,9.181022644042969
117,24,3,528,9.244680404663086
118,24,3,528,9.263992309570312
119,24,3,528,9.367704391479492
120,24,3,528,9.421825408935547
121,24,3,528,9.395837783813477
122,24,3,528,9.506702423095703
123,24,3,528,4.543304443359375
124,24,3,528,4.662036895751953
125,24,3,528,4.672050476074219
126,24,3,528,4.760026931762695
127,24,3,528,4.783391952514648
128,24,3,528,4.760980606079102
129,24,3,528,4.950284957885742
130,24,3,528,4.89044189453125
131,24,3,528,4.998922348022461
132,24,3,528,5.000591278076172
133,24,3,528,5.172014236450195
134,24,3,528,5.16819953918457
135,24,3,528,5.239009857177734
136,24,3,528,5.184173583984375
137,24,3,528,5.3958892822265625
138,24,3,528,5.316734313964844
139,24,3,528,5.458831787109375
140,24,3,528,5.384922027587891
141,24,3,528,5.496025085449219
142,24,3,528,5.530357360839844
143,24,3,528,5.7010650634765625
144,24,3,528,5.644798278808594
145,24,3,528,5.810976028442383
146,24,3,528,5.759000778198242
147,24,3,528,5.84721565246582
148,24,3,528,5.976200103759766
149,24,3,48,5.161046981811523
150,24,1,528,3.3140182495117188
151,24,3,528,5.922794342041016
152,24,3,528,6.103992462158203
153,24,3,528,6.042003631591797
154,24,3,528,6.161928176879883
155,24,3,528,6.22105598449707
156,24,3,528,6.349086761474609
157,24,3,528,6.303071975708008
158,24,3,528,6.422758102416992
159,24,3,528,6.505727767944336
160,24,3,528,6.539821624755859
161,24,3,528,6.449699401855469
162,24,3,528,6.656169891357422
163,24,3,528,6.674051284790039
164,24,3,528,6.757974624633789
165,24,3,528,6.786108016967773
166,24,3,528,6.905794143676758
167,24,3,528,6.9179534912109375
168,24,3,528,6.966829299926758
169,24,3,528,6.894111633300781
170,24,3,528,7.073163986206055
171,24,3,528,7.088899612426758
172,24,3,528,7.158517837524414
173,24,3,528,7.13801383972168
174,24,3,528,7.300138473510742
175,24,3,528,7.239341735839844
176,24,3,528,7.451057434082031
177,24,3,528,7.46464729309082
178,24,3,528,7.469654083251953
179,24,3,528,7.567405700683594
180,24,3,528,7.654666900634766
181,24,3,528,7.677793502807617
182,24,3,528,7.709503173828125
183,24,3,528,7.761240005493164
184,24,3,528,7.852077484130859
185,24,3,528,7.8639984130859375
186,24,3,528,7.878541946411133
187,24,3,528,7.921695709228516
188,24,3,528,8.091926574707031
189,24,3,528,8.102893829345703
190,24,3,528,8.16488265991211
191,24,3,528,8.23068618774414
192,24,3,528,8.325815200805664
193,24,3,528,8.296966552734375
194,24,3,528,8.352994918823242
195,24,3,528,8.439064025878906
196,24,3,528,8.421182632446289
197,24,3,528,8.487939834594727
198,24,3,528,8.547782897949219
199,24,3,528,8.533477783203125
200,24,3,528,8.615970611572266
201,24,3,528,8.781194686889648
202,24,3,528,8.805036544799805
203,24,3,528,8.895397186279297
204,24,3,528,8.987903594970703
205,24,3,528,8.960962295532227
206,24,3,528,9.008169174194336
207,24,3,528,9.081125259399414
208,24,3,528,9.026050567626953
209,24,3,528,9.215831756591797
210,24,3,528,9.168863296508789
211,24,3,528,9.276866912841797
212,24,3,528,9.289026260375977
213,24,3,528,9.420633316040039
214,24,3,528,9.472131729125977
215,24,3,528,9.515047073364258
216,24,3,528,4.518747329711914
217,24,3,528,4.61125373840332
218,24,3,528,4.683732986450195
219,24,3,528,4.769802093505859
220,24,3,528,4.776954650878906
221,24,3,528,4.7931671142578125
222,24,3,528,4.896640777587891
223,24,3,528,4.982948303222656
224,24,3,528,5.842924118041992
225,24,3,528,5.052089691162109
226,24,3,528,5.128622055053711
227,24,3,528,5.2490234375
228,24,3,528,5.118370056152344
229,24,3,528,5.268335342407227
230,24,3,528,5.244016647338867
231,24,3,528,5.404949188232422
232,24,3,528,5.433559417724609
233,24,3,528,5.468606948852539
234,24,3,528,5.564212799072266
235,24,3,528,5.662679672241211
236,24,3,528,5.679130554199219
237,24,3,528,5.758047103881836
238,24,3,528,5.815982818603516
239,24,3,528,5.840063095092773
240,24,3,528,5.804777145385742
241,24,3,528,5.944967269897461
242,24,3,528,5.995273590087891
243,24,3,528,6.097078323364258
244,24,3,528,6.093025207519531
245,24,3,528,6.129026412963867
246,24,3,528,6.263971328735352
247,24,3,528,6.335020065307617
248,24,3,528,6.337165832519531
249,24,3,528,6.314992904663086
250,24,3,528,6.463050842285156
251,24,3,528,6.424903869628906
252,24,3,528,6.436824798583984
253,24,3,528,6.521701812744141
254,24,3,528,6.64210319519043
255,24,3,528,6.613492965698242
256,24,3,528,6.740093231201172
257,24,3,528,6.837368011474609
258,24,3,528,6.901741027832031
259,24,3,528,6.94584846496582
260,24,3,528,7.008075714111328
261,24,3,528,6.905794143676758
262,24,3,528,7.134199142456055
263,24,3,528,7.058858871459961
264,24,3,528,7.098674774169922
265,24,3,528,7.238149642944336
266,24,3,528,7.306098937988281
267,24,3,528,7.375240325927734
268,24,3,528,7.440090179443359
269,24,3,528,7.362604141235352
270,24,3,528,7.557392120361328
271,24,3,528,7.505893707275391
272,24,3,528,7.678985595703125
273,24,3,528,7.598638534545898
274,24,3,528,7.75599479675293
275,24,3,528,7.694721221923828
276,24,3,528,7.805347442626953
277,24,3,528,7.840871810913086
278,24,3,528,7.975101470947266
279,24,3,528,8.022308349609375
280,24,3,528,8.110284805297852
281,24,3,528,8.127212524414062
282,24,3,528,8.156061172485352
283,24,3,528,8.229732513427734
284,24,3,528,8.285999298095703
285,24,3,528,8.25643539428711
286,24,3,528,8.32819938659668
287,24,3,528,8.348941802978516
288,24,3,528,8.510112762451172
289,24,3,528,8.47005844116211
290,24,3,528,8.600950241088867
291,24,3,528,8.599042892456055
292,24,3,528,8.722305297851562
293,24,3,528,8.707046508789062
294,24,3,528,8.901119232177734
295,24,3,528,8.826732635498047
296,24,3,528,8.916139602661133
297,24,3,528,9.031057357788086
298,24,3,528,9.079694747924805
299,24,3,528,8.996725082397461
300,24,3,528,9.205102920532227
301,24,3,528,9.1400146484375
302,24,3,528,9.298086166381836
303,24,3,528,9.250640869140625
304,24,3,528,9.340763092041016
305,24,3,528,9.373903274536133
306,24,3,528,9.53531265258789
307,24,3,528,9.555339813232422
308,24,3,528,4.513025283813477
309,24,3,528,4.576921463012695
310,24,3,528,4.626989364624023
311,24,3,528,4.737138748168945
312,24,3,528,4.759788513183594
313,24,3,528,4.913091659545898
314,24,3,528,4.915952682495117
315,24,3,528,5.011081695556641
316,24,3,528,4.940271377563477
317,24,3,528,5.114078521728516
318,24,3,528,5.023002624511719
319,24,3,528,5.257844924926758
320,24,3,528,5.142927169799805
321,24,3,528,5.239725112915039
322,24,3,528,5.311012268066406
323,24,3,528,5.434513092041016
324,24,3,528,5.441904067993164
325,24,3,528,5.536556243896484
326,24,3,528,5.518913269042969
327,24,3,528,5.686759948730469
328,24,3,528,5.6247711181640625
329,24,3,528,5.838871002197266
330,24,3,528,5.792140960693359
331,24,3,528,5.8422088623046875
332,24,3,528,5.803585052490234
333,24,3,528,6.021738052368164
334,24,3,52,6.493806838989258
335,24,1,528,5.8689117431640625
336,24,3,528,6.112098693847656
337,24,3,528,6.095170974731445
338,24,3,528,6.175041198730469
339,24,3,528,6.243705749511719
340,24,3,528,6.297826766967773
341,24,3,528,6.236076354980469
342,24,3,528,6.429195404052734
343,24,3,528,6.363868713378906
344,24,3,528,6.475925445556641
345,24,3,528,6.464242935180664
346,24,3,528,6.620883941650391
347,24,3,528,6.598949432373047
348,24,3,528,6.774663925170898
349,24,3,528,6.731271743774414
350,24,3,528,6.819009780883789
351,24,3,528,6.941080093383789
352,24,3,528,6.968021392822266
353,24,3,528,6.8798065185546875
354,24,3,528,7.109642028808594
355,24,3,528,7.1620941162109375
356,24,3,528,7.250070571899414
357,24,3,528,7.226228713989258
358,24,3,528,7.341146469116211
359,24,3,528,7.350921630859375
360,24,3,528,7.359981536865234
361,24,3,528,7.323265075683594
362,24,3,528,7.457971572875977
363,24,3,528,7.454156875610352
364,24,3,528,7.625102996826172
365,24,3,528,7.543087005615234
366,24,3,528,7.730007171630859
367,24,3,528,7.636547088623047
368,24,3,528,7.835865020751953
369,24,3,528,7.854938507080078
370,24,3,528,7.882118225097656
371,24,3,528,7.9708099365234375
372,24,3,528,8.109092712402344
373,24,3,528,8.111238479614258
374,24,3,528,8.138179779052734
375,24,3,528,8.148908615112305
376,24,3,528,8.245229721069336
377,24,3,528,8.253812789916992
378,24,3,528,8.269786834716797
379,24,3,528,8.296012878417969
380,24,3,528,8.471012115478516
381,24,3,528,8.49294662475586
382,24,3,528,8.536100387573242
383,24,3,528,8.66556167602539
384,24,3,528,8.668899536132812
385,24,3,528,8.769989013671875
386,24,3,528,8.786201477050781
387,24,3,528,8.857965469360352
388,24,3,528,8.9111328125
389,24,3,528,8.92019271850586
390,24,3,528,8.905649185180664
391,24,3,528,8.955955505371094
392,24,3,528,9.078264236450195
393,24,3,528,9.124040603637695
394,24,3,528,9.203910827636719
395,24,3,528,9.276390075683594
396,24,3,528,9.336471557617188
397,24,3,528,9.378910064697266
398,24,3,528,9.392023086547852
399,24,3,528,9.4757080078125
400,24,3,528,9.430170059204102
401,24,3,528,4.549980163574219
402,24,3,528,4.560232162475586
403,24,3,528,4.74095344543457
404,24,3,528,4.773139953613281
405,24,3,528,4.805326461791992
406,24,3,528,4.912853240966797
407,24,3,528,4.920482635498047
408,24,3,528,4.918098449707031
409,24,3,528,4.972934722900391
410,24,3,528,5.048990249633789
411,24,3,528,5.155086517333984
412,24,3,528,5.138158798217773
413,24,3,528,5.193948745727539
414,24,3,528,5.265712738037109
415,24,3,528,5.403757095336914
416,24,3,528,5.407094955444336
417,24,3,528,5.424022674560547
418,24,3,528,5.555152893066406
419,24,3,528,5.545616149902344
420,24,3,528,5.529880523681641
421,24,3,528,5.68079948425293
422,24,3,528,5.584001541137695
423,24,3,528,5.780220031738281
424,24,3,528,5.799293518066406
425,24,3,528,5.856990814208984
426,24,3,528,5.906820297241211
427,24,3,528,6.029844284057617
428,24,3,528,6.044864654541016
429,24,3,528,6.084680557250977
430,24,3,528,6.160974502563477
431,24,3,528,6.234169006347656
432,24,3,528,6.162881851196289
