,TBS,SegmentsNum,PacketSize,SegmentDelay(noSched),QueueingDelay(noSched)
0,24,1,253,9.612083435058594,9.613037109375
1,24,3,52,9.627103805541992,2.151012420654297
2,24,2,79,12.138843536376953,9.637117385864258
3,24,3,52,9.665966033935547,2.1088123321533203
4,24,1,128,9.595155715942383,9.593963623046875
5,24,1,128,9.597063064575195,9.594917297363281
6,24,3,128,9.624242782592773,2.109050750732422
7,24,3,128,9.690999984741211,2.1278858184814453
8,24,3,128,9.689092636108398,2.1140575408935547
9,24,3,128,9.727716445922852,2.1529197692871094
10,24,3,128,9.650230407714844,2.0651817321777344
11,24,3,128,9.724140167236328,2.156972885131836
12,24,3,128,9.58704948425293,2.0799636840820312
13,24,3,128,9.603738784790039,2.1049976348876953
14,24,3,128,9.588241577148438,2.093076705932617
15,24,3,128,9.701013565063477,2.1190643310546875
16,24,3,128,9.611845016479492,2.1059513092041016
17,24,3,128,9.675025939941406,2.125978469848633
18,24,3,128,9.588956832885742,2.1071434020996094
19,24,3,128,9.70602035522461,2.1390914916992188
20,24,3,128,9.72604751586914,2.1240711212158203
21,24,3,128,9.732961654663086,2.1491050720214844
22,24,3,128,9.576082229614258,2.0699501037597656
23,24,3,128,9.744882583618164,2.1708011627197266
24,24,3,128,9.586572647094727,2.0880699157714844
25,24,3,128,9.714126586914062,2.126932144165039
26,24,3,128,9.718179702758789,2.1321773529052734
27,24,3,128,9.596824645996094,2.112865447998047
28,24,3,128,9.721040725708008,2.1440982818603516
29,24,3,128,9.706974029541016,2.1300315856933594
30,24,3,128,9.711265563964844,2.1560192108154297
31,24,3,128,9.64212417602539,2.1469593048095703
32,24,3,128,9.72604751586914,2.1741390228271484
33,24,3,128,9.633064270019531,2.164125442504883
34,24,3,128,9.688138961791992,2.1169185638427734
35,24,3,128,9.558916091918945,2.106904983520508
36,24,3,128,9.703874588012695,2.134084701538086
37,24,3,128,9.67717170715332,2.1200180053710938
38,24,3,128,9.715795516967773,2.146005630493164
39,24,3,128,9.672880172729492,2.134084701538086
40,24,3,128,9.707927703857422,2.1491050720214844
41,24,3,128,9.625911712646484,2.1347999572753906
42,24,3,128,9.727001190185547,2.167940139770508
43,24,3,128,9.659051895141602,2.148151397705078
44,24,3,128,9.592771530151367,2.115011215209961
45,24,3,128,9.666919708251953,2.1638870239257812
46,24,3,128,9.70005989074707,2.125978469848633
47,24,3,128,9.630918502807617,2.117156982421875
48,24,3,128,9.694099426269531,2.1271705627441406
49,24,3,128,9.613990783691406,2.110004425048828
50,24,3,128,9.731054306030273,2.148866653442383
51,24,3,128,9.673833847045898,2.1240711212158203
52,24,3,128,9.711980819702148,2.1529197692871094
53,24,3,128,9.569644927978516,2.071857452392578
54,24,3,128,9.763240814208984,2.1789073944091797
55,24,3,128,9.566068649291992,2.0720958709716797
56,24,3,128,9.745359420776367,2.1719932556152344
57,24,3,128,9.573698043823242,2.0880699157714844
58,24,3,128,9.665966033935547,2.1169185638427734
59,24,3,128,9.615182876586914,2.104043960571289
60,24,3,128,9.693145751953125,2.1331310272216797
61,24,3,128,9.693145751953125,2.115011215209961
62,24,3,128,9.706974029541016,2.1469593048095703
63,24,3,128,9.567975997924805,2.065896987915039
64,24,3,128,9.721755981445312,2.1588802337646484
65,24,3,128,9.591817855834961,2.0809173583984375
66,24,3,128,9.598970413208008,2.109050750732422
67,24,3,128,9.590864181518555,2.0949840545654297
68,24,3,48,9.649038314819336,2.115964889526367
69,63,3,128,7.109880447387695,2.1088123321533203
70,24,3,128,9.603023529052734,2.1009445190429688
71,24,3,128,9.694099426269531,2.125978469848633
72,24,3,128,9.601354598999023,2.0880699157714844
73,24,3,128,9.661197662353516,2.1140575408935547
74,24,3,128,9.601831436157227,2.1119117736816406
75,24,3,128,9.708166122436523,2.1431446075439453
76,24,3,128,9.671211242675781,2.115964889526367
77,24,3,128,9.715080261230469,2.146005630493164
78,24,3,128,9.563684463500977,2.0639896392822266
79,24,3,128,9.752988815307617,2.157926559448242
80,24,3,128,9.560108184814453,2.0799636840820312
81,24,3,128,9.603023529052734,2.106904983520508
82,24,3,128,9.604215621948242,2.0940303802490234
83,24,3,128,9.678125381469727,2.1250247955322266
