,TBS,SegmentsNum,PacketSize,SegmentDelay(noSched)
0,24,1,53,6.783962249755859
1,24,3,52,9.367704391479492
2,24,1,253,9.303808212280273
3,24,3,52,5.149126052856445
4,24,2,79,7.716894149780273
5,24,3,52,6.949186325073242
6,24,2,1028,9.55963134765625
7,24,1,1028,9.433746337890625
8,24,4,1028,9.650230407714844
9,24,4,1028,9.609222412109375
10,24,4,1028,9.763956069946289
11,24,4,1028,9.693145751953125
12,24,4,1028,9.860992431640625
13,24,4,1028,9.856939315795898
14,24,4,1028,9.911060333251953
15,24,4,1028,9.94110107421875
16,24,4,1028,10.037422180175781
17,24,4,1028,10.071754455566406
18,24,4,1028,5.045175552368164
19,24,3,1028,4.919767379760742
20,24,3,1028,4.801034927368164
21,24,3,1028,4.9190521240234375
22,24,3,1028,4.903554916381836
23,24,3,1028,5.0449371337890625
24,24,3,1028,5.031585693359375
25,24,3,1028,5.186796188354492
26,24,3,1028,5.234241485595703
27,24,3,1028,5.2776336669921875
28,24,3,1028,5.402088165283203
29,24,3,1028,5.461215972900391
30,24,3,1028,5.401134490966797
31,24,3,1028,5.434751510620117
32,24,3,1028,5.576133728027344
33,24,3,1028,5.695581436157227
34,24,3,1028,5.689144134521484
35,24,3,1028,5.790948867797852
36,24,3,1028,5.867481231689453
37,24,3,1028,5.986213684082031
38,24,3,1028,5.905866622924805
39,24,3,1028,5.961179733276367
40,24,3,1028,6.03485107421875
41,24,3,1028,6.051063537597656
42,24,3,1028,6.054878234863281
43,24,3,1028,6.186008453369141
44,24,3,1028,6.165027618408203
45,24,3,1028,6.297111511230469
46,24,3,1028,6.358861923217773
47,24,3,1028,6.329774856567383
48,24,3,1028,6.407499313354492
49,24,3,1028,6.513833999633789
50,24,3,1028,6.573915481567383
51,24,3,1028,6.6680908203125
52,24,3,1028,6.7272186279296875
53,24,3,1028,6.793975830078125
54,24,3,1028,6.834983825683594
55,24,3,1028,6.849765777587891
56,24,3,1028,6.791353225708008
57,24,3,1028,6.926774978637695
58,24,3,1028,7.076025009155273
59,24,3,1028,7.02977180480957
60,24,3,1028,7.182836532592773
61,24,3,1028,7.189273834228516
62,24,3,1028,7.197141647338867
63,24,3,1028,7.232427597045898
64,24,3,1028,7.4005126953125
65,24,3,1028,7.421731948852539
66,24,3,1028,7.338762283325195
67,24,3,1028,7.466793060302734
68,24,3,1028,7.475376129150391
69,24,3,1028,7.565736770629883
70,24,3,1028,7.640838623046875
71,24,3,1028,7.673978805541992
72,24,3,1028,7.8277587890625
73,24,3,1028,7.891654968261719
74,24,3,1028,7.892131805419922
75,24,5,1028,37.60194778442383
76,24,3,1028,5.28407096862793
77,24,3,1028,7.990121841430664
78,24,3,1028,8.020877838134766
79,24,3,1028,8.13913345336914
80,24,3,1028,8.172750473022461
81,24,3,1028,8.161067962646484
82,24,3,1028,8.279800415039062
83,24,3,1028,8.324146270751953
84,24,3,1028,8.516073226928711
85,24,3,1028,8.509635925292969
86,24,3,1028,8.61215591430664
87,24,3,1028,8.519887924194336
88,24,3,1028,8.64100456237793
89,24,3,1028,8.684158325195312
90,24,3,1028,8.707523345947266
91,24,3,1028,8.754253387451172
92,24,3,1028,8.882761001586914
93,24,3,1028,8.87155532836914
94,24,3,1028,8.972644805908203
95,24,3,1028,9.011983871459961
96,24,3,1028,9.119272232055664
97,24,3,1028,9.037494659423828
98,24,3,1028,9.269237518310547
99,24,3,1028,9.195804595947266
100,24,3,1028,9.349346160888672
101,24,3,1028,9.289026260375977
102,24,3,1028,9.382009506225586
103,24,3,1028,9.450674057006836
104,24,3,1028,9.665966033935547
105,24,3,1028,9.580612182617188
106,24,3,1028,9.657859802246094
107,24,3,1028,9.768009185791016
108,24,3,1028,9.79757308959961
109,24,3,1028,4.827022552490234
110,24,3,1028,4.843950271606445
111,24,3,1028,4.897117614746094
112,24,3,1028,5.108118057250977
113,24,3,1028,5.054235458374023
114,24,3,1028,5.113124847412109
115,24,3,1028,5.20777702331543
116,24,3,1028,5.216836929321289
117,24,3,1028,5.259990692138672
118,24,3,1028,5.289793014526367
119,24,3,1028,5.437135696411133
120,24,3,1028,5.390167236328125
121,24,3,1028,5.407810211181641
122,24,3,1028,5.463838577270508
123,24,3,1028,5.606889724731445
124,24,3,1028,5.649805068969727
125,24,3,1028,5.680084228515625
126,24,3,1028,5.821943283081055
127,24,3,1028,5.86390495300293
