,TBS,SegmentsNum,PacketSize,SegmentDelay(noSched)
0,24,4,48,6.93202018737793
1,116,1,48,-1.7080307006835938
2,24,4,60,7.354259490966797
3,24,3,52,6.805658340454102
4,24,1,53,6.901741027832031
5,24,3,52,9.385108947753906
6,24,1,253,9.451866149902344
7,116,3,52,6.762981414794922
8,116,2,79,9.352922439575195
9,24,3,52,6.79779052734375
10,24,1,55,9.124755859375
11,24,4,55,9.058237075805664
12,24,4,55,10.873079299926758
13,24,4,55,7.460117340087891
14,24,4,57,9.362936019897461
15,24,4,55,11.052131652832031
16,24,4,55,7.821083068847656
17,24,4,55,9.11402702331543
18,24,4,55,10.753154754638672
19,24,4,55,11.946916580200195
20,24,3,57,6.1550140380859375
21,24,3,55,7.98797607421875
22,24,3,55,4.573822021484375
23,24,3,55,6.232976913452148
24,24,3,55,8.002996444702148
25,24,3,55,4.977941513061523
26,24,3,55,6.607770919799805
27,24,3,57,8.58759880065918
28,24,3,55,5.444049835205078
29,24,3,55,7.284879684448242
30,24,3,55,9.604692459106445
31,24,3,57,6.126165390014648
32,24,3,55,7.901191711425781
33,24,3,55,9.487152099609375
34,24,3,55,6.094932556152344
35,24,3,55,7.771968841552734
36,24,3,55,4.948854446411133
37,24,3,55,6.683111190795898
38,24,3,58,8.37087631225586
39,24,3,55,4.859685897827148
40,24,3,55,6.933927536010742
41,24,3,55,8.295059204101562
42,24,3,55,5.117893218994141
43,24,3,59,6.826639175415039
44,24,3,55,8.563995361328125
45,24,3,55,5.300045013427734
46,24,3,55,7.028818130493164
47,24,3,55,8.782625198364258
48,24,3,55,5.42902946472168
49,24,3,55,7.039070129394531
50,24,3,61,8.633136749267578
51,24,3,55,5.522012710571289
52,24,3,55,7.281064987182617
53,24,3,55,8.984804153442383
54,24,3,55,5.387067794799805
55,24,3,55,7.269859313964844
56,24,3,57,8.95237922668457
57,24,3,55,5.44285774230957
58,24,3,55,7.400274276733398
59,24,3,55,5.366086959838867
60,24,3,59,7.1048736572265625
61,24,3,55,9.078264236450195
62,116,3,55,7.8887939453125
63,24,3,55,8.017301559448242
64,24,3,55,4.7969818115234375
65,24,3,55,6.541728973388672
66,24,3,55,8.30388069152832
67,24,3,59,4.990816116333008
68,24,3,55,6.762981414794922
69,24,3,55,8.536815643310547
70,24,3,55,5.545854568481445
71,24,3,57,7.493257522583008
72,24,3,55,9.308815002441406
73,24,3,55,6.114959716796875
