,TBS,SegmentsNum,PacketSize,SegmentDelay(noSched)
0,24,1,253,9.281158447265625
1,24,3,52,9.269237518310547
2,24,2,79,11.805057525634766
3,24,3,52,6.721735000610352
4,24,1,78,8.304834365844727
5,24,1,78,8.31294059753418
6,24,4,78,10.875225067138672
7,24,4,78,10.844945907592773
8,24,4,78,10.961055755615234
9,24,4,78,11.005163192749023
10,24,4,78,11.070013046264648
11,24,4,78,11.162042617797852
12,24,4,78,11.240005493164062
13,24,4,78,11.278152465820312
14,24,4,78,11.294126510620117
15,24,4,78,11.434078216552734
16,24,4,78,11.407136917114258
17,24,4,78,11.461019515991211
18,24,4,78,11.561155319213867
19,24,4,78,11.584997177124023
20,24,4,78,11.686325073242188
21,24,4,78,11.726856231689453
22,24,4,78,11.751890182495117
23,24,4,78,11.869192123413086
24,24,4,78,11.862993240356445
25,24,4,78,11.841773986816406
26,24,3,78,9.551763534545898
27,24,3,78,4.571676254272461
28,24,3,78,4.64630126953125
29,24,3,78,4.698514938354492
30,24,3,78,4.647731781005859
31,24,3,78,4.809856414794922
32,24,3,78,4.765033721923828
33,24,3,78,4.881620407104492
34,24,3,78,4.918575286865234
35,24,3,78,5.075693130493164
36,24,3,78,5.015134811401367
37,24,3,78,5.151987075805664
38,24,3,78,5.20777702331543
39,24,3,78,5.23686408996582
40,24,3,78,5.179882049560547
41,24,3,78,5.378961563110352
42,24,3,78,5.398035049438477
43,24,3,78,5.450010299682617
44,24,3,78,5.433082580566406
45,24,3,48,8.398294448852539
46,24,3,78,5.531787872314453
47,24,3,78,5.59687614440918
48,24,3,78,5.717992782592773
49,24,3,78,5.66411018371582
50,24,3,78,5.790948867797852
51,24,3,78,5.85627555847168
52,24,3,78,5.894184112548828
53,24,3,78,5.883932113647461
54,24,3,78,6.021738052368164
55,24,3,78,6.076812744140625
56,24,3,78,6.082773208618164
57,24,3,78,6.203889846801758
58,24,3,78,6.178855895996094
59,24,3,78,6.306648254394531
60,24,3,78,6.387233734130859
61,24,3,78,6.458759307861328
62,24,3,78,6.413936614990234
63,24,3,78,6.598234176635742
64,24,3,78,6.546258926391602
65,24,3,78,6.534814834594727
66,24,3,78,6.688833236694336
67,24,3,78,6.760835647583008
68,24,3,78,6.708621978759766
69,24,3,78,6.860017776489258
70,24,3,78,6.93821907043457
71,24,3,78,6.983280181884766
72,24,3,78,6.988048553466797
73,24,3,78,7.111072540283203
74,24,3,78,7.13801383972168
75,24,3,78,7.191896438598633
76,24,3,78,7.257938385009766
77,24,3,78,7.330656051635742
78,24,3,78,7.411956787109375
79,24,3,78,7.436037063598633
80,24,3,78,7.454872131347656
81,24,3,78,7.611274719238281
82,24,3,78,7.6141357421875
83,24,3,78,7.684946060180664
84,24,3,78,7.593870162963867
85,24,3,78,7.845163345336914
86,24,3,78,7.718801498413086
87,24,3,78,7.953882217407227
88,24,3,78,7.839202880859375
89,24,3,78,7.993936538696289
90,24,3,78,7.97581672668457
91,24,3,78,8.114337921142578
92,24,3,78,8.142232894897461
