,TBS,SegmentsNum,PacketSize,SegmentDelay(noSched)
0,116,1,48,2.076864242553711
1,116,1,48,2.111196517944336
2,116,1,60,2.0759105682373047
3,24,2,52,9.627103805541992
4,145,1,53,2.051115036010742
5,24,3,52,9.715080261230469
6,24,1,253,9.646177291870117
7,24,3,52,9.610891342163086
8,24,2,79,12.10474967956543
9,24,3,52,9.634017944335938
10,24,1,73,9.627103805541992
11,24,4,80,12.095212936401367
12,24,5,83,19.550323486328125
13,24,5,63,19.595861434936523
14,24,4,82,12.086868286132812
15,24,4,60,12.080192565917969
16,24,4,61,12.074947357177734
17,106,4,73,14.045953750610352
18,24,4,78,12.054204940795898
19,24,4,74,12.021064758300781
20,24,4,59,12.019872665405273
21,24,4,77,12.079954147338867
22,24,4,76,12.134075164794922
23,24,3,72,9.653329849243164
24,24,4,76,12.058019638061523
25,24,4,81,12.026071548461914
26,24,4,77,12.079954147338867
27,24,4,81,12.050151824951172
28,24,3,70,9.524822235107422
29,24,3,63,9.622812271118164
30,24,4,80,12.13216781616211
31,24,4,80,12.060880661010742
32,24,5,83,19.557714462280273
33,24,4,78,12.087583541870117
34,24,4,77,12.125968933105469
35,24,4,84,12.044668197631836
36,24,4,75,12.106180191040039
37,24,3,66,9.598016738891602
38,24,3,67,9.580135345458984
39,24,3,80,9.58704948425293
40,24,3,58,9.528160095214844
41,106,4,81,14.104127883911133
42,24,3,75,9.516716003417969
43,24,3,71,9.559154510498047
44,24,3,70,9.5672607421875
45,24,3,75,9.52291488647461
46,24,3,77,9.51528549194336
47,24,3,71,9.618997573852539
48,116,3,72,11.52801513671875
49,24,3,72,9.552717208862305
50,24,3,59,9.51385498046875
51,24,3,63,9.598016738891602
52,24,3,77,9.631872177124023
53,24,3,66,9.546041488647461
54,24,3,75,9.55510139465332
55,24,3,89,9.630918502807617
56,24,3,75,9.588003158569336
57,24,3,63,9.613037109375
58,24,3,79,9.527921676635742
59,24,3,65,9.624958038330078
60,24,3,62,9.562015533447266
61,24,3,74,9.582996368408203
62,24,3,80,9.59467887878418
63,24,3,71,9.63282585144043
64,24,3,78,9.60683822631836
65,24,4,83,12.066841125488281
66,24,3,79,9.556055068969727
67,24,3,73,9.600162506103516
68,24,3,57,9.505748748779297
69,24,3,57,9.644031524658203
70,24,3,64,9.64808464050293
71,24,4,82,12.132883071899414
