,TBS,SegmentsNum,PacketSize,SegmentDelay(noSched),QueueingDelay(noSched)
0,,4,48,11.720895767211914,2.0601749420166016
1,116,1,48,2.076864242553711,2.0258426666259766
2,116,1,48,2.111196517944336,2.0210742950439453
3,116,1,60,2.0759105682373047,2.0020008087158203
4,24,2,52,9.627103805541992,2.0270347595214844
5,145,1,53,2.051115036010742,1.9731521606445312
6,24,3,52,9.715080261230469,2.050161361694336
7,24,1,253,9.646177291870117,9.531974792480469
8,24,3,52,9.610891342163086,2.065896987915039
9,24,2,79,12.10474967956543,9.550809860229492
10,24,3,52,9.634017944335938,2.0301342010498047
11,24,1,73,9.627103805541992,9.556055068969727
12,24,4,80,12.095212936401367,2.0520687103271484
13,24,5,83,19.550323486328125,2.012014389038086
14,24,5,63,19.595861434936523,2.048969268798828
15,24,4,82,12.086868286132812,2.0208358764648438
16,24,4,60,12.080192565917969,2.0461082458496094
17,24,4,61,12.074947357177734,2.015829086303711
18,106,4,73,14.045953750610352,4.050970077514648
19,24,4,78,12.054204940795898,2.074003219604492
20,24,4,74,12.021064758300781,2.0439624786376953
21,24,4,59,12.019872665405273,2.0170211791992188
22,24,4,77,12.079954147338867,2.0351409912109375
23,24,4,76,12.134075164794922,2.0639896392822266
24,24,3,72,9.653329849243164,2.0360946655273438
25,24,4,76,12.058019638061523,2.0668506622314453
26,24,4,81,12.026071548461914,2.0470619201660156
27,24,4,77,12.079954147338867,2.074003219604492
28,24,4,81,12.050151824951172,2.0570755004882812
29,24,3,70,9.524822235107422,2.015829086303711
30,24,3,63,9.622812271118164,2.046823501586914
31,24,4,80,12.13216781616211,2.079010009765625
32,24,4,80,12.060880661010742,1.9969940185546875
33,24,5,83,19.557714462280273,2.023935317993164
34,24,4,78,12.087583541870117,2.040863037109375
35,24,4,77,12.125968933105469,2.0749568939208984
36,24,4,84,12.044668197631836,2.040863037109375
37,24,4,75,12.106180191040039,2.0530223846435547
38,24,3,66,9.598016738891602,2.023935317993164
39,24,3,67,9.580135345458984,2.0568370819091797
40,24,3,80,9.58704948425293,2.026081085205078
41,24,3,58,9.528160095214844,2.0029544830322266
42,106,4,81,14.104127883911133,4.051923751831055
43,24,3,75,9.516716003417969,1.9998550415039062
44,24,3,71,9.559154510498047,2.0389556884765625
45,24,3,70,9.5672607421875,2.0570755004882812
46,24,3,75,9.52291488647461,2.0198822021484375
47,24,3,77,9.51528549194336,2.001047134399414
48,24,3,71,9.618997573852539,2.031087875366211
49,116,3,72,11.52801513671875,4.0149688720703125
50,24,3,72,9.552717208862305,1.9729137420654297
51,24,3,59,9.51385498046875,2.009868621826172
52,24,3,63,9.598016738891602,2.0399093627929688
53,24,3,77,9.631872177124023,2.053976058959961
54,24,3,66,9.546041488647461,2.0210742950439453
55,24,3,75,9.55510139465332,2.0599365234375
56,24,3,89,9.630918502807617,2.032756805419922
57,24,3,75,9.588003158569336,2.0608901977539062
58,24,3,63,9.613037109375,2.0389556884765625
59,24,3,79,9.527921676635742,2.004861831665039
60,24,3,65,9.624958038330078,2.0380020141601562
61,24,3,62,9.562015533447266,1.9900798797607422
62,24,3,74,9.582996368408203,2.0198822021484375
63,24,3,80,9.59467887878418,2.0279884338378906
64,24,3,71,9.63282585144043,2.056121826171875
65,24,3,78,9.60683822631836,2.0399093627929688
66,24,4,83,12.066841125488281,2.0771026611328125
67,24,3,79,9.556055068969727,2.0499229431152344
68,24,3,73,9.600162506103516,2.079010009765625
69,24,3,57,9.505748748779297,1.989126205444336
70,24,3,57,9.644031524658203,2.070188522338867
71,24,3,64,9.64808464050293,2.039194107055664
72,24,4,82,12.132883071899414,2.062082290649414
73,24,3,75,9.64212417602539,2.048969268798828
74,24,4,81,12.127876281738281,2.0799636840820312
75,24,4,83,12.108087539672852,2.0449161529541016
76,24,3,76,9.654998779296875,2.0780563354492188
77,24,3,79,9.493827819824219,1.9810199737548828
78,116,4,81,14.002799987792969,4.029989242553711
79,24,3,79,9.605169296264648,2.0351409912109375
80,24,3,73,9.661197662353516,2.073049545288086
81,24,3,58,9.557008743286133,2.0411014556884766
82,24,3,63,9.546279907226562,2.012014389038086
83,24,3,59,9.626150131225586,2.0508766174316406
84,24,3,79,9.569883346557617,2.064943313598633
85,106,3,78,11.533975601196289,3.996133804321289
86,24,3,75,9.521007537841797,2.0110607147216797
87,24,3,65,9.502887725830078,1.9688606262207031
88,24,3,64,9.636878967285156,2.0589828491210938
89,24,3,79,9.625911712646484,2.020120620727539
90,24,3,61,9.650945663452148,2.0558834075927734
91,24,3,80,11.418819427490234,2.026081085205078
92,24,4,81,12.05897331237793,2.0599365234375
93,24,3,62,9.660005569458008,2.0241737365722656
94,24,3,79,9.485006332397461,1.9919872283935547
95,24,3,64,9.531974792480469,2.0210742950439453
96,24,3,77,9.531259536743164,1.9989013671875
97,116,3,78,11.564254760742188,3.9780139923095703
98,24,3,80,9.510040283203125,1.995086669921875
99,24,3,63,9.671211242675781,2.0809173583984375
100,24,3,74,9.631872177124023,2.046823501586914
101,24,3,59,9.651899337768555,2.0780563354492188
102,24,3,75,9.612083435058594,2.0470619201660156
103,24,3,64,9.534120559692383,2.0220279693603516
104,24,3,75,9.571075439453125,2.054929733276367
105,24,3,73,9.529829025268555,2.0148754119873047
106,24,3,61,9.573698043823242,2.052783966064453
107,24,3,59,9.582042694091797,2.022981643676758
108,24,3,64,9.505748748779297,1.9958019256591797
109,24,3,64,9.597063064575195,2.025127410888672
110,24,3,64,9.620904922485352,2.0351409912109375
111,24,3,72,9.59014892578125,2.012014389038086
112,24,4,81,11.963129043579102,1.9748210906982422
113,24,3,61,9.627819061279297,2.0608901977539062
114,24,3,70,9.584903717041016,2.023935317993164
115,24,3,69,9.633064270019531,2.0589828491210938
116,24,3,72,9.608268737792969,2.0351409912109375
117,24,3,78,9.598016738891602,2.0639896392822266
118,24,3,75,9.60993766784668,2.0329952239990234
119,24,3,58,9.519815444946289,2.012968063354492
120,24,3,59,9.469985961914062,1.9769668579101562
121,24,3,75,9.516000747680664,2.012014389038086
122,24,3,64,9.598970413208008,2.023935317993164
123,24,3,75,9.638786315917969,2.0380020141601562
124,24,3,71,9.632110595703125,2.0661354064941406
125,24,3,72,9.636163711547852,2.0360946655273438
126,24,3,75,9.66501235961914,2.076864242553711
127,24,3,80,9.607791900634766,2.0449161529541016
128,24,3,79,9.5367431640625,2.016782760620117
129,24,4,84,12.034893035888672,2.051115036010742
130,24,3,64,9.512901306152344,2.017974853515625
131,24,3,73,9.575128555297852,2.051115036010742
132,24,4,81,12.084007263183594,2.0248889923095703
133,24,3,68,9.603261947631836,2.0341873168945312
134,24,3,80,9.63902473449707,2.054929733276367
135,24,3,72,9.544134140014648,2.0170211791992188
136,24,4,82,12.101888656616211,2.0570755004882812
137,24,3,77,9.608745574951172,2.029895782470703
138,24,3,71,9.627819061279297,2.0599365234375
139,24,3,76,9.599924087524414,2.0248889923095703
140,24,3,75,9.572029113769531,2.0699501037597656
141,24,3,70,9.603023529052734,2.0380020141601562
142,24,4,82,12.09712028503418,2.0160675048828125
143,24,4,83,12.039899826049805,1.9769668579101562
144,24,3,75,9.517908096313477,2.012968063354492
145,116,3,79,11.638164520263672,4.047155380249023
146,24,3,64,9.630918502807617,2.056121826171875
147,24,3,70,9.606122970581055,2.025127410888672
148,24,3,62,9.56273078918457,2.0668506622314453
149,24,3,65,9.618997573852539,2.0389556884765625
150,24,3,78,9.583234786987305,2.086162567138672
151,24,3,59,9.499073028564453,1.9800662994384766
152,24,4,84,11.985301971435547,1.9910335540771484
153,24,3,79,9.505987167358398,2.012968063354492
154,24,3,74,9.510040283203125,1.9989013671875
155,24,3,59,9.593963623046875,2.031087875366211
156,24,3,71,9.652137756347656,2.0499229431152344
157,106,3,76,11.613130569458008,4.024982452392578
158,24,3,76,9.624958038330078,2.0439624786376953
159,24,4,81,12.143850326538086,2.0780563354492188
160,24,3,59,9.562015533447266,2.054929733276367
161,24,3,63,9.517908096313477,2.020120620727539
162,24,3,70,9.513139724731445,1.995086669921875
163,24,3,77,9.589910507202148,2.0248889923095703
164,24,3,69,9.507179260253906,1.9919872283935547
165,24,3,78,9.621143341064453,2.03704833984375
166,24,3,74,9.510993957519531,2.001047134399414
167,24,3,74,9.528875350952148,2.017974853515625
168,24,3,76,9.605884552001953,2.023935317993164
169,24,3,75,9.641170501708984,2.0570755004882812
170,24,3,74,9.627819061279297,2.0377635955810547
171,24,3,75,9.569883346557617,2.0689964294433594
172,24,3,65,9.620904922485352,2.0399093627929688
173,24,3,77,9.526252746582031,2.0139217376708984
174,24,3,76,9.492874145507812,1.97601318359375
175,24,4,81,11.983871459960938,2.010822296142578
176,24,3,63,9.552001953125,1.9838809967041016
177,24,4,85,12.099981307983398,2.0570755004882812
178,24,3,52,9.603738784790039,2.0279884338378906
179,24,3,65,9.646892547607422,2.064943313598633
180,24,3,73,9.628057479858398,2.0380020141601562
181,106,3,61,11.584997177124023,4.015922546386719
182,24,3,58,9.546279907226562,2.0461082458496094
183,24,3,61,9.598016738891602,2.079010009765625
184,24,3,66,9.541034698486328,2.0427703857421875
185,24,3,76,9.528160095214844,2.012014389038086
186,24,3,63,9.479999542236328,1.9829273223876953
187,24,3,68,9.52005386352539,2.017974853515625
188,24,3,80,9.615182876586914,2.0380020141601562
189,24,3,77,9.63902473449707,2.0668506622314453
