,MCS,TBS,SegmentsNumber,PacketSize
0,9,,4,48
1,9,24,1,48
2,9,24,1,48
3,9,116,1,60
4,9,145,2,52
5,9,145,1,53
6,9,24,3,52
7,9,24,1,253
8,9,24,3,52
9,9,24,2,79
10,9,24,3,52
11,9,24,1,73
12,10,24,4,80
13,10,24,5,83
14,10,24,5,63
15,11,24,4,82
16,11,24,4,60
17,12,24,4,61
18,12,106,4,73
19,12,24,4,78
20,13,24,4,74
21,13,24,4,59
22,14,24,4,77
23,14,24,4,76
24,14,24,3,72
25,15,24,4,76
26,15,24,4,81
27,15,24,4,77
28,16,24,4,81
29,16,24,3,70
30,16,24,3,63
31,17,24,4,80
32,17,24,4,80
33,18,24,5,83
34,18,24,4,78
35,18,24,4,77
36,19,24,4,84
37,19,24,4,75
38,20,24,3,66
39,20,24,3,67
40,20,24,3,80
41,20,24,3,58
42,20,106,4,81
43,20,24,3,75
44,20,24,3,71
45,20,24,3,70
46,20,24,3,75
47,20,24,3,77
48,20,24,3,71
49,20,116,3,72
50,20,24,3,72
51,20,24,3,59
52,20,24,3,63
53,20,24,3,77
54,20,24,3,66
55,20,24,3,75
56,20,24,3,89
57,20,24,3,75
58,20,24,3,63
59,20,24,3,79
60,20,24,3,65
61,20,24,3,62
62,20,24,3,74
63,20,24,3,80
64,20,24,3,71
65,20,24,3,78
66,20,24,4,83
67,20,24,3,79
68,20,24,3,73
69,20,24,3,57
70,20,24,3,57
71,20,24,3,64
72,20,24,4,82
73,20,24,3,75
74,20,24,4,81
75,20,24,4,83
76,20,24,3,76
77,20,24,3,79
78,20,116,4,81
79,20,24,3,79
80,20,24,3,73
81,20,24,3,58
82,20,24,3,63
83,20,24,3,59
84,20,24,3,79
85,20,106,3,78
86,20,24,3,75
87,20,24,3,65
88,20,24,3,64
89,20,24,3,79
90,20,24,3,61
91,20,24,3,80
92,20,24,4,81
93,20,24,3,62
94,20,24,3,79
95,20,24,3,64
96,20,24,3,77
97,20,116,3,78
98,20,24,3,80
99,20,24,3,63
100,20,24,3,74
101,20,24,3,59
102,20,24,3,75
103,20,24,3,64
104,20,24,3,75
105,20,24,3,73
106,20,24,3,61
107,20,24,3,59
108,20,24,3,64
109,20,24,3,64
110,20,24,3,64
111,20,24,3,72
112,20,24,4,81
113,20,24,3,61
114,20,24,3,70
115,20,24,3,69
116,20,24,3,72
117,20,24,3,78
118,20,24,3,75
119,20,24,3,58
120,20,24,3,59
121,20,24,3,75
122,20,24,3,64
123,20,24,3,75
124,20,24,3,71
125,20,24,3,72
126,20,24,3,75
127,20,24,3,80
128,20,24,3,79
129,20,24,4,84
130,20,24,3,64
131,20,24,3,73
132,20,24,4,81
133,20,24,3,68
